model,model_short,data_freq,horizon,n_features,Train_Size,Test_Size,Train_Start,Train_End,Test_Start,Test_End,R2_InSample,MSE_InSample,RMSE_InSample,MAE_InSample,MAPE_InSample,DirAcc_InSample,R2_OutSample,MSE_OutSample,RMSE_OutSample,MAE_OutSample,MAPE_OutSample,Correlation_OutSample,DirAcc_OutSample,features,coefficients,intercept,target_col
10min_HAR-RBV-IV,HAR-RBV-IV,10min,5d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3670882512632716,2.7653842304639954e-05,0.0052586920716695285,0.0038413478203100063,15.675560150352776,0.45893719806763283,0.42861436463667724,4.203749479645387e-05,0.006483632839423734,0.004377049586661342,16.4187167641905,0.5676694504406222,0.42995169082125606,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d']","{'RBV_d': 0.07336518431316849, 'RBV_w': 0.2403324068963298, 'RBV_m': 0.1755197171843361, 'IV_d': 0.19193060988272398}",-1.7317710730076716,y_5d
10min_HAR-RV-IV-Full,HAR-RV-IV-Full,10min,5d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.38021833685179784,2.7278610980327348e-05,0.005222892970407047,0.003788399615648561,15.432013483398407,0.4553140096618358,0.4114678451952404,4.309672149150402e-05,0.006564809326363106,0.004401088363659788,16.56182809032365,0.5525551412119449,0.4251207729468599,"['RV_d', 'RV_w', 'RV_m', 'IV_d', 'IV_w', 'IV_m']","{'RV_d': 0.08801769157349014, 'RV_w': 0.18072175303310917, 'RV_m': 0.2144717655252511, 'IV_d': 0.060063330354859154, 'IV_w': 0.2081213247116801, 'IV_m': -0.06359774531804269}",-1.7756417991457925,y_5d
10min_HAR-RBV-IV-Full,HAR-RBV-IV-Full,10min,5d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3737821820312941,2.7560226824120542e-05,0.0052497835025951825,0.003808376312652842,15.507704707215888,0.45893719806763283,0.4269502226443185,4.2054023884164016e-05,0.006484907392103916,0.004381858871246641,16.494635367798736,0.5675679378510288,0.43478260869565216,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d', 'IV_w', 'IV_m']","{'RBV_d': 0.08357181022873796, 'RBV_w': 0.2064526437768343, 'RBV_m': 0.1722472133056263, 'IV_d': 0.061182830369233304, 'IV_w': 0.2080477553404093, 'IV_m': -0.05119386283210946}",-1.8142399483624914,y_5d
10min_HAR-CJ-RBV-IV,HAR-CJ-RBV-IV,10min,5d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.37288924789823386,2.7300601017609795e-05,0.0052249977050339265,0.003793369978136211,15.508194978592819,0.46859903381642515,0.4075784742675159,4.3619694434864115e-05,0.006604520757395204,0.004425350237016892,16.53622947524349,0.5451428680708096,0.4251207729468599,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w', 'IV_d']","{'C_RBV_d': 0.06966307501938858, 'C_RBV_w': 0.19388402437013957, 'C_RBV_m': 0.18905698212681643, 'J_RBV_d': 1.3261087464460106, 'J_RBV_w': 3.975061406563938, 'IV_d': 0.18662318177211878}",-1.9143482345374028,y_5d
10min_HAR-RV,HAR-RV,10min,22d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.349151699970799,1.5843575486964612e-05,0.003980398910532035,0.002965558597415753,12.30857250867532,0.4335748792270531,0.2862185631609857,2.2922136769176644e-05,0.004787706838265752,0.0038910202024071017,16.1888646383673,0.5131812118313743,0.463768115942029,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.059943703330578774, 'RV_w': 0.14194586280698585, 'RV_m': 0.3576665386166759}",-1.6483599776334525,y_22d
10min_HAR-RBV,HAR-RBV,10min,22d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3264474480751509,1.643313653670401e-05,0.004053780523992883,0.0030094738814053167,12.486447713268307,0.45169082125603865,0.27296229562591456,2.348544124982223e-05,0.004846178004347573,0.0039167575504238505,16.23717448834653,0.5016473539694039,0.48792270531400966,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.056897765216825914, 'RBV_w': 0.14802563279725345, 'RBV_m': 0.34402716205607076}",-1.653109306937342,y_22d
10min_HAR-TRBV,HAR-TRBV,10min,22d,3,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3264474480751509,1.643313653670401e-05,0.004053780523992883,0.0030094738814053167,12.486447713268307,0.45169082125603865,0.27296229562591456,2.348544124982223e-05,0.004846178004347573,0.0039167575504238505,16.23717448834653,0.5016473539694039,0.48792270531400966,"['TRBV_d', 'TRBV_w', 'TRBV_m']","{'TRBV_d': 0.056897765216825914, 'TRBV_w': 0.14802563279725345, 'TRBV_m': 0.34402716205607076}",-1.653109306937342,y_22d
10min_HAR-CJ-RBV,HAR-CJ-RBV,10min,22d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.34151222065777087,1.606343658948524e-05,0.0040079217294609485,0.0029809422152012096,12.367826250717158,0.43719806763285024,0.23286312093901973,2.493917163010973e-05,0.004993913458412123,0.004049014335502307,16.74702835462732,0.4608619972560563,0.46859903381642515,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w']","{'C_RBV_d': 0.05544544369443549, 'C_RBV_w': 0.0768967084807955, 'C_RBV_m': 0.3584028355985025, 'J_RBV_d': 0.6482383140339026, 'J_RBV_w': 6.71831503967084}",-1.9290456728257888,y_22d
10min_HAR-TCJ-RBV,HAR-TCJ-RBV,10min,22d,5,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.34151222065777087,1.606343658948524e-05,0.0040079217294609485,0.0029809422152012096,12.367826250717158,0.43719806763285024,0.23286312093901973,2.493917163010973e-05,0.004993913458412123,0.004049014335502307,16.74702835462732,0.4608619972560563,0.46859903381642515,"['C_TRBV_d', 'C_TRBV_w', 'C_TRBV_m', 'J_TRBV_d', 'J_TRBV_w']","{'C_TRBV_d': 0.05544544369443549, 'C_TRBV_w': 0.0768967084807955, 'C_TRBV_m': 0.3584028355985025, 'J_TRBV_d': 0.6482383140339026, 'J_TRBV_w': 6.71831503967084}",-1.9290456728257888,y_22d
10min_HAR-RV-IV,HAR-RV-IV,10min,22d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.40413628775062604,1.4386612437908856e-05,0.0037929688158365943,0.0027997221711707487,11.613582599997416,0.45652173913043476,0.3286011136851308,2.124921265930916e-05,0.0046096868287671304,0.0038799267229313447,16.368234158415216,0.5550069131334677,0.4396135265700483,"['RV_d', 'RV_w', 'RV_m', 'IV_d']","{'RV_d': 0.04000887520518552, 'RV_w': 0.09852835155523065, 'RV_m': 0.26284947197839315, 'IV_d': 0.17671357365252846}",-2.10393911547021,y_22d
10min_HAR-RBV-IV,HAR-RBV-IV,10min,22d,4,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.38876791071940664,1.4773001153624917e-05,0.0038435662025812587,0.0028255447362423042,11.71728017078283,0.4492753623188406,0.323769778324815,2.150628821307634e-05,0.004637487273629583,0.0038996580102277794,16.42107749124708,0.5477366744785184,0.45893719806763283,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d']","{'RBV_d': 0.03549562577678375, 'RBV_w': 0.09903241847626387, 'RBV_m': 0.24471440717396192, 'IV_d': 0.18776900099199273}",-2.154269260967104,y_22d
10min_HAR-RV-IV-Full,HAR-RV-IV-Full,10min,22d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.40882692676384325,1.4200989593763074e-05,0.0037684200394546086,0.0027712912043650717,11.509572147859371,0.4420289855072464,0.315599547579692,2.153100617056183e-05,0.004640151524526094,0.003926150888367199,16.61497283081134,0.5464267736574872,0.45893719806763283,"['RV_d', 'RV_w', 'RV_m', 'IV_d', 'IV_w', 'IV_m']","{'RV_d': 0.04525623597800249, 'RV_w': 0.098251646073449, 'RV_m': 0.2140116585635855, 'IV_d': 0.10503359170457914, 'IV_w': 0.05243476124827495, 'IV_m': 0.06321072989504221}",-2.2342942455869252,y_22d
