Date,Last_Price,Open,High,Low,Prev_Close,Amount_Money,Volume_Units,Num_Trades,Time,Volume_Calls,Volume_Put,IV_Call_Avg,IV_Put_Avg,Risk_Free_Rate,Days_To_Expiry,Years_To_Expiry,Simple_Return,Log_Return,Dividend,Adj_Price
2025-02-19,7310.0,7250.0,7420.0,7130.0,7260.0,16811245350.0,2301491.0,,0.70832176,1414055276.0,555774258.0,0.6101499285016742,0.5436107090541294,0.26,2.0,0.005479452054794521,0.00688705234159781,0.006863444924982429,0.0,7101.150754388758
2025-02-20,7280.0,7420.0,7420.0,7150.0,7310.0,16550010230.0,2280148.0,,0.7083101851851852,957050749.0,401408433.0,0.194854736328125,0.8454513549804688,0.231,1.0,0.0027397260273972603,-0.004103967168262668,-0.004112411553092548,0.0,7072.007864835864
2025-02-21,7150.0,7360.0,7510.0,7120.0,7280.0,20170004300.0,2764071.0,,0.70831019,2308668690.0,809410517.0,0.49093518938337055,0.4850714547293527,0.285,54.0,0.14794520547945206,-0.017857142857142905,-0.018018505502678365,0.0,6945.722010106651
2025-02-24,7070.0,7250.0,7310.0,6970.0,7150.0,12338332000.0,1739731.0,,0.70827546,2093941373.0,979468757.0,0.526106698172433,0.47430310930524555,0.26,51.0,0.13972602739726028,-0.01118881118881121,-0.01125187679743492,0.0,6868.007637965598
2025-02-25,6990.0,7000.0,7140.0,6830.0,7070.0,12809816350.0,1845095.0,,0.70811343,1641687934.0,832994525.0,0.5281993321010044,0.4642541067940848,0.25,50.0,0.136986301369863,-0.011315417256011262,-0.011379923662762446,0.0,6790.2932658245445
2025-02-26,7140.0,7110.0,7270.0,6980.0,6990.0,12668684760.0,1770721.0,,0.70832176,2365778682.0,937427906.0,0.49028124128069195,0.506270272391183,0.3,49.0,0.13424657534246576,0.02145922746781115,0.021232220105774118,0.0,6936.007713589021
2025-02-27,6820.0,7240.0,7260.0,6720.0,7140.0,21946094530.0,3186265.0,,0.7082986111111111,3037457653.0,1568374794.0,0.5095291137695312,0.49160003662109375,0.31,48.0,0.13150684931506848,-0.0448179271708683,-0.04585330449612224,0.0,6625.150225024807
2025-02-28,6930.0,6800.0,7060.0,6680.0,6820.0,22111668480.0,3174327.0,,0.70818287,2880090605.0,1152735966.0,0.5596651349748883,0.4978234427315848,0.28,47.0,0.12876712328767123,0.016129032258064502,0.01600034134644112,0.0,6732.007486718755
2025-03-05,7180.0,6930.0,7230.0,6850.0,6930.0,14393939540.0,2037182.0,,0.70831019,2528913199.0,656585516.0,0.5872072492327008,0.5308805193219867,0.3001,42.0,0.11506849315068493,0.03607503607503615,0.03543956985832102,0.0,6974.864899659547
2025-03-06,7070.0,7200.0,7350.0,7010.0,7180.0,15568563790.0,2167031.0,,0.70829861,2798909747.0,795482805.0,0.5767876761300224,0.5421175275530133,0.32,41.0,0.11232876712328767,-0.01532033426183843,-0.015438903151651417,0.0,6868.007637965598
2025-03-07,7040.0,7150.0,7340.0,6840.0,7070.0,15853748560.0,2258993.0,,0.70829861,3041415503.0,876465757.0,0.6043406895228794,0.48620496477399555,0.24,40.0,0.1095890410958904,-0.004243281471004279,-0.0042523097385303915,0.0,6838.864748412703
2025-03-10,6620.0,6880.0,6930.0,6490.0,7040.0,24242399000.0,3615906.0,,0.70827546,3228498627.0,1814059296.0,0.6359608968098959,0.4674039568219866,0.24,37.0,0.10136986301369863,-0.05965909090909094,-0.061512800221034225,0.0,6430.864294672173
2025-03-11,6690.0,6700.0,6850.0,6530.0,6620.0,16914123700.0,2527762.0,,0.70813657,2262844794.0,1212887448.0,0.6162007649739584,0.5156962076822916,0.25,36.0,0.09863013698630137,0.010574018126888296,0.010518504191220317,0.0,6498.864370295594
2025-03-12,7110.0,6850.0,7200.0,6810.0,6690.0,23640185420.0,3371560.0,,0.70832176,3105385363.0,1428710095.0,0.5737795148577008,0.5379867553710938,0.275,35.0,0.0958904109589041,0.06278026905829592,0.06088836967501239,0.0,6906.864824036125
2025-03-13,7070.0,7010.0,7210.0,6960.0,7110.0,16258505800.0,2283870.0,,0.70824074,2060380332.0,704339308.0,0.5539539882114956,0.528275626046317,0.29,34.0,0.09315068493150686,-0.005625879043600568,-0.005641763906668126,0.0,6868.007637965598
