Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-05-19,GFGV88983J,88.983,Put,0.198,17889.0,0.13,0.205,0.13,0.175,987.0,0.7733535766601562,0.0014672100778065952,45.966999999999985,0.13142857142857145,89.99659700000001
2021-05-19,GFGV94983J,94.983,Put,0.219,10746.0,0.14,0.28,0.14,0.2,522.0,0.6843185424804688,0.0016228232678769917,39.966999999999985,0.09499999999999997,95.99659700000001
2021-05-19,GFGV97983J,97.983,Put,0.231,29941.0,0.201,0.35,0.201,0.268,989.0,0.6412887573242188,0.001711745090774361,36.966999999999985,-0.13805970149253732,98.99659700000001
2021-05-20,GFGC10098J,100.98,Call,38.5,746725.0,36.0,39.0,36.0,34.001,202.0,3.814697265625e-05,0.0009329027628274824,38.36999999999999,0.13231963765771604,101.99359700000001
2021-05-20,GFGC10398J,103.98,Call,36.0,943790.0,33.0,37.0,32.5,31.0,274.0,3.814697265625e-05,0.004520990312163686,35.36999999999999,0.16129032258064524,104.99359700000001
2021-05-20,GFGC10698J,106.98,Call,32.0,2443265.0,30.5,34.0,30.0,29.0,759.0,3.814697265625e-05,-0.0026551847865087215,32.36999999999999,0.10344827586206895,107.99359700000001
2021-05-20,GFGC10998J,109.98,Call,29.778,2594611.0,27.0,30.9,27.0,25.8,876.0,3.814697265625e-05,0.002927879440258402,29.36999999999999,0.15418604651162782,110.99359700000001
2021-05-20,GFGC11298J,112.98,Call,26.701,3775388.0,24.5,27.99,24.3,23.0,1431.0,3.814697265625e-05,0.00237531395766064,26.36999999999999,0.16091304347826085,113.99359700000001
2021-05-20,GFGC11598J,115.98,Call,24.0,3296050.0,22.0,24.9,22.0,20.408,1397.0,3.814697265625e-05,0.004520990312163686,23.36999999999999,0.17600940807526455,116.99359700000001
2021-05-20,GFGC11898J,118.98,Call,21.133,8911831.0,19.5,22.0,19.0,17.58,4406.0,3.814697265625e-05,0.00547542160028711,20.36999999999999,0.20210466439135377,119.99359700000001
2021-05-20,GFGC12198J,121.98,Call,18.277,4355986.0,17.0,19.2,16.2,15.091,2418.0,3.814697265625e-05,0.00650879081449595,17.36999999999999,0.21111921012524038,122.99359700000001
2021-05-20,GFGC12498J,124.98,Call,15.657,10170635.0,14.6,16.99,13.7,12.578,6579.0,3.814697265625e-05,0.00923573735199146,14.36999999999999,0.24479249483224685,125.99359700000001
2021-05-20,GFGC12798J,127.98,Call,13.111,11420553.0,11.1,14.15,11.1,10.418,8960.0,3.814697265625e-05,0.012493720846788736,11.36999999999999,0.25849491265118085,128.993597
2021-05-20,GFGC13098J,130.98,Call,11.009,16839020.0,9.0,11.99,9.0,8.316,15844.0,3.814697265625e-05,0.018937926085396455,8.370000000000005,0.3238335738335738,131.993597
2021-05-20,GFGC13398J,133.98,Call,8.999,24692199.0,7.5,9.6,7.3,6.536,28337.0,0.16208648681640625,0.02604233943308214,5.3700000000000045,0.3768359853121177,134.993597
2021-05-20,GFGC13898J,138.98,Call,6.072,37519784.0,4.81,6.8,3.3,4.202,65660.0,0.24600982666015625,0.04091855041263004,0.37000000000000455,0.4450261780104712,139.993597
2021-05-20,GFGC14398J,143.98,Call,4.284,23510053.0,3.0,4.7,3.0,2.765,57537.0,0.30208587646484375,0.030742734122712594,4.6299999999999955,0.5493670886075948,144.993597
2021-05-20,GFGC14898J,148.98,Call,2.899,10665770.0,2.2,3.2,1.961,1.763,40384.0,0.33229827880859375,0.02080373161105131,9.629999999999995,0.6443562110039707,149.993597
2021-05-20,GFGC15398J,153.98,Call,1.928,1724035.0,1.4,2.0,1.15,1.009,10444.0,0.35480499267578125,0.013835665590240402,14.629999999999995,0.9108027750247771,154.993597
2021-05-20,GFGC15898J,158.98,Call,1.307,2792942.0,1.0,1.4,0.73,0.682,25373.0,0.37700653076171875,0.009379260853964837,19.629999999999995,0.9164222873900292,159.993597
2021-05-20,GFGC165.JU,165.0,Call,0.924,98354.0,0.35,1.0,0.35,0.15,1300.0,0.41362762451171875,0.006630785791173305,25.650000000000006,5.16,166.013597
2021-05-20,GFGC170.JU,170.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.650000000000006,0.0,171.013597
2021-05-20,GFGC175.JU,175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,35.650000000000006,0.0,176.013597
2021-05-20,GFGC180.JU,180.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,40.650000000000006,0.0,181.013597
2021-05-20,GFGC18898J,188.98,Call,0.516,177653.0,0.36,0.56,0.245,0.321,4674.0,0.5904006958007812,0.0037029063509149626,49.629999999999995,0.6074766355140186,189.993597
2021-05-20,GFGC19898J,198.98,Call,0.456,434890.0,0.22,0.499,0.22,0.325,12702.0,0.6583786010742188,0.003272335844994618,59.629999999999995,0.4030769230769231,199.993597
