time,open,high,low,close,Volume
2022-08-26T19:30:00Z,254.0643378,254.163234,252.18531,252.18531,167685.91715354
2022-08-29T14:00:00Z,253.174272,255.152196,249.712905,254.163234,37194.55348133
2022-08-29T14:30:00Z,254.163234,254.163234,252.3831024,253.668753,29808.02093508
2022-08-29T15:00:00Z,253.668753,254.657715,253.668753,254.6082669,84645.31498682
2022-08-29T15:30:00Z,254.3610264,258.0696339,254.163234,257.13012,62643.45849487
2022-08-29T16:00:00Z,257.13012,258.6630111,256.0422618,258.119082,139832.47081283
2022-08-29T16:30:00Z,258.119082,259.108044,256.635639,258.2674263,100244.49877751
2022-08-29T17:00:00Z,258.7124592,259.108044,257.3279124,258.119082,278378.7445827
2022-08-29T17:30:00Z,258.119082,258.6630111,257.3279124,258.613563,111755.55784752
2022-08-29T18:00:00Z,258.613563,259.9981098,256.8334314,257.0312238,263618.82458578
2022-08-29T18:30:00Z,256.8334314,258.3168744,256.7345352,257.0312238,39748.7466657
2022-08-29T19:00:00Z,257.13012,258.119082,254.163234,254.163234,110677.6600112
2022-08-29T19:30:00Z,254.163234,254.6082669,250.4051784,251.5919328,301664.77579523
2022-08-30T14:00:00Z,250.207386,250.207386,245.262576,250.1084898,93927.774778
2022-08-30T14:30:00Z,249.9601455,254.163234,249.218424,252.18531,162183.17791786
2022-08-30T15:00:00Z,253.6193049,253.7676492,251.196348,252.2347581,144985.34827425
2022-08-30T15:30:00Z,251.9875176,253.1248239,251.8886214,251.9875176,72734.84724388
2022-08-30T16:00:00Z,251.9875176,253.0259277,251.5919328,252.7786872,72820.79594565
2022-08-30T16:30:00Z,253.0259277,253.0259277,250.0095936,250.6029708,245734.41648921
2022-08-30T17:00:00Z,250.207386,251.196348,249.8118012,251.196348,70233.23444177
2022-08-30T17:30:00Z,250.2568341,251.690829,250.207386,251.196348,51130.37710246
2022-08-30T18:00:00Z,251.9380695,252.18531,247.7844291,248.229462,136189.25701898
2022-08-30T18:30:00Z,248.3778063,250.1579379,248.229462,248.5261506,230952.25094594
2022-08-30T19:00:00Z,248.5755987,249.3173202,247.8338772,248.229462,75576.21020828
2022-08-30T19:30:00Z,248.1800139,249.1195278,247.1416038,247.5371886,114391.65508887
2022-08-31T14:00:00Z,247.2405,251.196348,246.251538,250.9985556,62937.70640328
2022-08-31T14:30:00Z,250.207386,250.207386,248.3283582,248.9217354,76896.78673195
2022-08-31T15:00:00Z,248.9217354,249.218424,244.4219583,244.4714064,35317.83829915
2022-08-31T15:30:00Z,245.2131279,245.2131279,242.5923786,243.4824444,158582.43289429
2022-08-31T16:00:00Z,243.4824444,244.768095,243.0868596,243.0868596,96674.08858985
2022-08-31T16:30:00Z,243.284652,243.5318925,242.6912748,242.8396191,53836.24446642
2022-08-31T17:00:00Z,242.8890672,242.8890672,241.0594875,241.4056242,75028.16083934
2022-08-31T17:30:00Z,241.4056242,241.7023128,239.4771483,240.3672141,103673.34639754
2022-08-31T18:00:00Z,239.9221812,240.4166622,239.2299078,239.2299078,112863.79051976
2022-08-31T18:30:00Z,239.328804,239.328804,236.2135737,237.35088,168631.35287301
2022-08-31T19:00:00Z,237.6970167,239.328804,237.0541914,237.845361,108900.03862636
2022-08-31T19:30:00Z,237.7464648,238.0431534,236.8069509,237.1036395,190965.88139888
2022-09-01T14:00:00Z,236.361918,236.361918,232.4555181,236.361918,95501.14160099
2022-09-01T14:30:00Z,236.361918,237.1530876,234.4828902,235.372956,86269.23986968
2022-09-01T15:00:00Z,235.372956,237.1036395,235.1257155,236.7575028,123236.28208162
2022-09-01T15:30:00Z,236.7575028,238.2903939,236.4608142,238.1420496,66328.12989781
2022-09-01T16:00:00Z,237.6475686,240.317766,237.5486724,240.1199736,54804.93689343
2022-09-01T16:30:00Z,240.1199736,240.317766,238.339842,238.5376344,95411.14825443
2022-09-01T17:00:00Z,238.5376344,239.823285,238.5376344,239.823285,88765.7968658
2022-09-01T17:30:00Z,239.4277002,239.823285,238.5870825,238.5870825,56150.79244703
2022-09-01T18:00:00Z,238.7354268,238.7354268,238.339842,238.6365306,38828.58997616
2022-09-01T18:30:00Z,238.6365306,239.6749407,237.845361,237.845361,63853.81844803
2022-09-01T19:00:00Z,238.339842,239.328804,236.361918,237.7464648,106869.62694219
2022-09-01T19:30:00Z,237.845361,238.4387382,236.856399,237.2519838,91322.01237257
2022-09-05T14:00:00Z,238.834323,242.29569,238.834323,241.0594875,41231.10898093
2022-09-05T14:30:00Z,241.1089356,241.801209,239.3782521,240.317766,49662.17104398
2022-09-05T15:00:00Z,240.317766,241.306728,239.328804,239.5760445,17891.48622495
2022-09-05T15:30:00Z,239.5760445,241.306728,239.5760445,240.4166622,19505.29949584
2022-09-05T16:00:00Z,241.0594875,242.29569,241.0594875,241.7517609,25654.17073659
2022-09-05T16:30:00Z,241.7517609,242.6912748,241.7517609,242.6912748,28015.23213228
2022-09-05T17:00:00Z,242.5429305,243.0374115,241.7517609,242.2462419,17045.14430281
2022-09-05T17:30:00Z,242.0484495,242.2462419,241.801209,241.801209,32120.5465933
2022-09-05T18:00:00Z,241.7517609,241.801209,239.9221812,239.9221812,12378.63537729
2022-09-05T18:30:00Z,240.0210774,241.306728,239.9221812,240.812247,72592.27351506
2022-09-05T19:00:00Z,240.812247,241.0100394,240.317766,240.317766,29358.05420228
2022-09-05T19:30:00Z,240.317766,241.306728,240.1199736,241.0594875,20883.51220775
2022-09-06T14:00:00Z,240.317766,245.4603684,240.317766,245.4603684,80473.26388678
2022-09-06T14:30:00Z,245.4603684,245.757057,244.273614,245.262576,49213.21547238
2022-09-06T15:00:00Z,245.757057,246.251538,245.262576,246.0042975,27460.10463496
2022-09-06T15:30:00Z,246.0042975,247.734981,245.757057,246.4493304,152338.51250099
2022-09-06T16:00:00Z,246.3504342,246.746019,243.3341001,243.3341001,115206.65101389
2022-09-06T16:30:00Z,243.3341001,243.7296849,238.9332192,240.1199736,100246.5210999
2022-09-06T17:00:00Z,240.1199736,241.9001052,238.9826673,241.306728,51810.88858824
2022-09-06T17:30:00Z,241.5045204,242.790171,240.9605913,242.1473457,52356.91563478
2022-09-06T18:00:00Z,242.29569,243.5813406,242.1473457,243.284652,42145.19870329
2022-09-06T18:30:00Z,243.0374115,244.768095,242.8396191,244.273614,41877.240986
2022-09-06T19:00:00Z,244.273614,245.2131279,242.5429305,242.790171,158223.47066925
2022-09-06T19:30:00Z,243.0868596,244.0263735,242.5923786,243.7296849,54874.70701604
2022-09-07T14:00:00Z,243.284652,246.8449152,242.5923786,246.8449152,31678.66915008
2022-09-07T14:30:00Z,247.1910519,250.8996594,247.0921557,250.701867,417098.93807851
2022-09-07T15:00:00Z,250.5040746,252.18531,250.207386,251.690829,268001.19721486
2022-09-07T15:30:00Z,251.3941404,252.18531,250.5040746,251.196348,90552.51870143
2022-09-07T16:00:00Z,250.8007632,251.4435885,247.8338772,248.9711835,141285.50945335
2022-09-07T16:30:00Z,248.9711835,250.0590417,248.2789101,249.218424,52447.92014253
2022-09-07T17:00:00Z,249.218424,253.174272,249.218424,252.679791,88182.35685497
2022-09-07T17:30:00Z,252.4325505,254.5093707,252.18531,253.4709606,85369.30640409
2022-09-07T18:00:00Z,253.9159935,254.3610264,251.196348,251.196348,187038.53130858
2022-09-07T18:30:00Z,251.196348,252.1358619,249.8612493,250.207386,129999.93933033
2022-09-07T19:00:00Z,250.207386,253.5698568,250.1579379,253.174272,350323.87493149
